2022/06/01;08:00;20.457.671-9
2022/06/01;08:00;27.752.982-4
2022/06/01;18:00;20.457.671-9
2022/06/01;18:00;27.752.982-4
2022/06/02;07:59;27.752.982-4
2022/06/02;08:05;20.457.671-9
2022/06/02;18:00;27.752.982-4
2022/06/02;18:20;20.457.671-9
2022/06/03;07:55;20.457.671-9
2022/06/03;08:00;27.752.982-4
2022/06/03;18:01;27.752.982-4
2022/06/03;18:50;20.457.671-9
2022/06/06;08:00;27.752.982-4
2022/06/06;08:55;20.457.671-9
2022/06/06;18:00;20.457.671-9
2022/06/06;18:00;27.752.982-4
2022/06/07;08:01;27.752.982-4
2022/06/07;08:20;20.457.671-9
2022/06/07;18:00;20.457.671-9
2022/06/07;18:00;27.752.982-4
2022/06/08;08:05;27.752.982-4
2022/06/08;08:10;20.457.671-9
2022/06/08;18:00;20.457.671-9
2022/06/08;20:00;27.752.982-4
2022/06/09;08:00;27.752.982-4
2022/06/09;08:11;20.457.671-9
2022/06/09;18:00;20.457.671-9
2022/06/09;18:00;27.752.982-4
2022/06/10;08:00;27.752.982-4
2022/06/10;09:40;20.457.671-9
2022/06/10;18:00;20.457.671-9
2022/06/10;18:00;27.752.982-4
2022/06/13;08:11;20.457.671-9
2022/06/13;18:00;20.457.671-9
2022/06/14;08:40;20.457.671-9
2022/06/14;18:00;20.457.671-9
2022/06/15;07:55;27.752.982-4
2022/06/15;08:30;20.457.671-9
2022/06/15;18:00;20.457.671-9
2022/06/15;18:00;27.752.982-4
2022/06/16;08:10;27.752.982-4
2022/06/16;08:17;20.457.671-9
2022/06/16;18:00;27.752.982-4
2022/06/16;19:00;20.457.671-9
2022/06/17;08:00;27.752.982-4
2022/06/17;08:16;20.457.671-9
2022/06/17;18:10;27.752.982-4
2022/06/17;20:00;20.457.671-9
2022/06/20;08:00;20.457.671-9
2022/06/20;08:00;27.752.982-4
2022/06/20;18:00;20.457.671-9
2022/06/20;18:00;27.752.982-4
2022/06/21;08:00;27.752.982-4
2022/06/21;08:01;20.457.671-9
2022/06/21;18:00;20.457.671-9
2022/06/21;20:30;27.752.982-4
2022/06/22;07:55;20.457.671-9
2022/06/22;08:00;27.752.982-4
2022/06/22;18:00;20.457.671-9
2022/06/22;18:00;27.752.982-4
2022/06/23;08:00;27.752.982-4
2022/06/23;08:05;20.457.671-9
2022/06/23;18:00;20.457.671-9
2022/06/23;18:00;27.752.982-4
2022/06/24;08:00;27.752.982-4
2022/06/24;08:10;20.457.671-9
2022/06/24;18:00;20.457.671-9
2022/06/24;19:00;27.752.982-4
2022/06/27;08:00;27.752.982-4
2022/06/27;08:20;20.457.671-9
2022/06/27;18:00;20.457.671-9
2022/06/27;18:00;27.752.982-4
2022/06/28;08:00;27.752.982-4
2022/06/28;08:40;20.457.671-9
2022/06/28;18:00;20.457.671-9
2022/06/28;18:00;27.752.982-4
2022/06/29;08:00;20.457.671-9
2022/06/29;08:00;27.752.982-4
2022/06/29;18:00;20.457.671-9
2022/06/29;18:00;27.752.982-4
2022/06/30;07:50;27.752.982-4
2022/06/30;08:01;20.457.671-9
2022/06/30;18:20;20.457.671-9
2022/06/30;20:00;27.752.982-4
